training/global_step,critic/rewards/mean,critic/score/mean,critic/advantages/max,critic/advantages/min,actor/entropy,actor/grad_norm,actor/ppo_kl,actor/pg_clipfrac,actor/lr,response_length/mean,num_turns/mean,rollout_corr/kl,timing_s/step
16,0.5625,0.5625,0.875,-0.875,0.6448565721511841,0.020965576171875,-1.1438464071034105e-05,0.00010376933960287715,2e-05,3368.8125,21.65625,0.0007298917043954134,781.5212452411652
17,0.625,0.625,0.875,-0.875,0.6074005365371704,0.020599365234375,3.3134088596398215e-05,9.578694107403862e-05,2e-05,3091.65625,20.15625,0.000597168633248657,698.9088296703994
18,0.578125,0.578125,0.875,-0.875,0.6385521292686462,0.0189208984375,5.9904837055313465e-05,0.00013609406778414268,2e-05,3464.203125,21.90625,0.0008533135405741632,745.6193739958107
19,0.125,0.125,0.875,-0.25,0.4769982397556305,0.064605712890625,0.006715896187262871,0.008037209231133602,2e-05,692.4375,4.984375,0.0002693456772249192,481.0044121518731
20,0.0,0.0,0.0,0.0,0.30071496963500977,0.0,0.00038929260267650534,0.0,2e-05,18.25,1.0,0.001526323496364057,354.82247909903526
21,0.0,0.0,0.0,0.0,0.2977519631385803,0.0,0.000563809620189204,0.0,2e-05,17.890625,1.0,0.00017210283840540797,354.2287957519293
22,0.0,0.0,0.0,0.0,0.2735688090324402,0.0,0.00031144128251980874,0.0,2e-05,17.390625,1.0,0.0015336788492277265,354.6621493920684
23,0.0,0.0,0.0,0.0,0.32654911279678345,0.0,-0.00029739118690486066,0.0,2e-05,19.671875,1.0,0.0001448295370209962,355.53199815377593
24,0.859375,0.859375,0.625,-0.875,0.5623984932899475,0.01024627685546875,7.288284876949547e-05,7.63307807574165e-05,2e-05,2868.03125,18.0,0.0007655553054064512,684.0937133766711
25,0.921875,0.921875,0.25,-0.875,0.3988575041294098,0.00981903076171875,-5.453748077854925e-05,1.8329160980101733e-05,2e-05,3082.71875,20.421875,0.0006776035879738629,1011.5397467240691
