training/global_step,critic/rewards/mean,critic/score/mean,critic/advantages/max,critic/advantages/min,actor/entropy,actor/grad_norm,actor/ppo_kl,actor/pg_clipfrac,actor/lr,response_length/mean,num_turns/mean,rollout_corr/kl,timing_s/step
1,0.59375,0.59375,0.625,-0.875,0.5970363616943359,0.01922607421875,5.679056067720012e-05,7.768239629513118e-05,2e-05,3162.5,20.6875,0.0006983667844906449,769.1266799606383
2,0.421875,0.421875,0.875,-0.375,0.6261776089668274,0.01666259765625,-1.7030149955132856e-05,0.00011741439493562211,2e-05,3095.734375,20.8125,0.0007490958087146282,720.386259097606
3,0.578125,0.578125,0.5,-0.875,0.5917854309082031,0.01788330078125,0.00011745512982486161,7.607779207319254e-05,2e-05,3108.25,21.53125,0.0006867346237413585,724.0939302034676
4,0.4375,0.4375,0.875,-0.75,0.6185829043388367,0.018310546875,-6.449755431958692e-05,0.00011239791501793661,2e-05,3201.71875,21.65625,0.0007339236326515675,730.6890486553311
5,0.671875,0.671875,0.875,-0.875,0.656662106513977,0.020111083984375,9.637006240836854e-05,0.000133329066557053,2e-05,3031.265625,19.515625,0.0006498690345324576,704.2416292950511
6,0.703125,0.703125,0.75,-0.75,0.519866943359375,0.01910400390625,8.015934433558414e-05,5.1852172873623203e-05,2e-05,2826.5,19.375,0.00043808933696709573,662.8976540155709
7,0.734375,0.734375,0.75,-0.875,0.5777508020401001,0.01953125,0.00010867585549334535,0.00010558277676864236,2e-05,2906.046875,18.8125,0.0008711058180779219,702.2502094395459
8,0.65625,0.65625,0.875,-0.875,0.572317898273468,0.020111083984375,3.3565596190499036e-05,0.0001591687296240707,2e-05,3009.046875,19.375,0.0008987630135379732,706.7390217222273
9,0.296875,0.296875,0.875,-0.875,0.6011728048324585,0.0185546875,7.805809332239733e-07,0.00015107917852219543,2e-05,3724.78125,24.734375,0.0007731867954134941,857.1006378158927
10,0.484375,0.484375,0.75,-0.875,0.706516444683075,0.01995849609375,3.612591291357603e-05,9.991592787628178e-05,2e-05,3286.234375,19.828125,0.000970723107457161,737.0434589013457
11,0.59375,0.59375,0.75,-0.875,0.6575466394424438,0.021728515625,-0.00011300441406092432,0.00022702738897351082,2e-05,3194.53125,20.78125,0.0005283320788294077,728.0629227124155
12,0.609375,0.609375,0.625,-0.875,0.6500988602638245,0.022705078125,7.910352935880383e-05,0.00010770091148515348,2e-05,3237.09375,20.21875,0.0008315476006828249,728.1067795827985
13,0.71875,0.71875,0.875,-0.875,0.6308950185775757,0.017425537109375,-9.930567091487319e-05,9.725263089421787e-05,2e-05,3257.609375,19.6875,0.0008106594323180616,724.5622302554548
14,0.8125,0.8125,0.625,-0.875,0.5339732766151428,0.0163116455078125,9.367133424120766e-05,8.485706575811491e-05,2e-05,2849.0,18.84375,0.0007452283171005547,670.7084635160863
15,0.609375,0.609375,0.875,-0.875,0.7365005612373352,0.02199554443359375,3.417904914648773e-05,0.00011567846104298951,2e-05,3314.375,19.890625,0.0009528301889076829,743.0488995313644
16,0.671875,0.671875,0.875,-0.875,0.6960200667381287,0.0213623046875,-4.809288947171808e-05,0.00016999450554067153,2e-05,3578.59375,21.734375,0.0008519938564859331,794.0310383066535
17,0.546875,0.546875,0.875,-0.75,0.6882711052894592,0.0171051025390625,-3.228524630571883e-05,0.00010255820825477713,2e-05,3517.96875,21.3125,0.0007629035972058773,758.8289076238871
