training/global_step,critic/rewards/mean,critic/score/mean,critic/advantages/max,critic/advantages/min,actor/entropy,actor/grad_norm,actor/ppo_kl,actor/pg_clipfrac,actor/lr,response_length/mean,num_turns/mean,rollout_corr/kl,timing_s/step
1,0.5388268828392029,0.5388268828392029,2.441401243209839,-1.5074609518051147,0.6365025639533997,0.05804443359375,1.8566232370176294e-05,0.00016587633263043244,2e-05,3039.296875,19.875,0.0005790395080111921,750.82800450176
2,0.53401780128479,0.53401780128479,2.4500973224639893,-1.590977430343628,0.6390458941459656,0.04730224609375,-6.4635158537385e-05,0.00018233668288303306,2e-05,3061.984375,19.984375,0.0007234206423163414,705.1218006126583
3,0.6215513348579407,0.6215513348579407,2.4466285705566406,-2.401859998703003,0.5980675220489502,0.04827880859375,-0.00013348530896450939,0.00018481793767932686,2e-05,3084.21875,20.453125,0.0008435291238129139,703.8549872152507
4,0.6636123061180115,0.6636123061180115,1.918352723121643,-2.3803465366363525,0.5742964148521423,0.049072265625,-1.2586041222562017e-06,9.912324821925722e-05,2e-05,3010.34375,20.59375,0.0006327205337584019,707.599184859544
5,0.7637238502502441,0.7637238502502441,2.431581497192383,-2.3611319065093994,0.5983563661575317,0.05120849609375,-1.996359304712314e-05,0.00011197301182619412,2e-05,2754.390625,18.109375,0.0009080840973183513,683.1551327966154
6,0.72552090883255,0.72552090883255,2.455228567123413,-2.2387354373931885,0.6214551329612732,0.04962158203125,-8.019079305832122e-05,0.000148048214668961,2e-05,2907.921875,19.171875,0.0007219798280857503,699.8337008208036
7,0.6816890239715576,0.6816890239715576,2.442000389099121,-2.370969295501709,0.5470302104949951,0.044525146484375,2.699539318484767e-05,0.00014889338319790113,2e-05,3414.90625,19.265625,0.0006461718585342169,1042.900351986289
8,0.564847469329834,0.564847469329834,2.4387922286987305,-1.5949352979660034,0.60017991065979,0.046630859375,0.0001396997307665515,0.00021832990296388743,2e-05,3079.75,20.25,0.0005503343418240547,718.7525587752461
9,0.38053974509239197,0.38053974509239197,2.458676338195801,-1.7472175359725952,0.5936257243156433,0.04217529296875,-4.0140423124057634e-05,0.0001253186710528098,2e-05,3822.15625,24.859375,0.001017904025502503,878.7548677101731
10,0.5488095283508301,0.5488095283508301,2.4377827644348145,-2.022467851638794,0.6624732613563538,0.04638671875,8.354283454536926e-05,0.00014525437200063607,2e-05,3217.03125,19.828125,0.0006285839481279254,721.8157012909651
11,0.5342447757720947,0.5342447757720947,2.4704627990722656,-1.759515643119812,0.6032792925834656,0.05120849609375,-5.493094528219444e-05,0.00013234370135251083,2e-05,3206.015625,20.703125,0.0009014807874336839,738.5692687518895
12,0.5761222839355469,0.5761222839355469,2.4330968856811523,-2.3888919353485107,0.6757782697677612,0.04730224609375,-8.426026472818648e-05,0.00017060735262930393,2e-05,3311.609375,20.96875,0.0007981215603649616,739.2476483248174
13,0.664248526096344,0.664248526096344,1.8869909048080444,-2.3838627338409424,0.574643075466156,0.04840087890625,-6.376729061230435e-06,0.00015083383686942398,2e-05,3014.078125,19.78125,0.0009272426250390708,690.7536756247282
14,0.8245311975479126,0.8245311975479126,1.4658681154251099,-2.4049017429351807,0.5446457862854004,0.0494384765625,4.878384349638054e-05,0.0001066428799276764,2e-05,2792.015625,17.953125,0.001024827011860907,669.5834054946899
15,0.7312127947807312,0.7312127947807312,1.7674604654312134,-1.8708088397979736,0.6922603249549866,0.05108642578125,1.9563344643813707e-05,0.00010327767449780367,2e-05,3087.0,19.0625,0.0008682900806888938,716.8712596297264
