training/global_step,critic/rewards/mean,critic/score/mean,critic/advantages/max,critic/advantages/min,actor/entropy,actor/grad_norm,actor/ppo_kl,actor/pg_clipfrac,actor/lr,response_length/mean,num_turns/mean,rollout_corr/kl,timing_s/step
1,0.5408333539962769,0.5408333539962769,1.076785683631897,-0.7692857384681702,0.6808318495750427,0.021331787109375,-0.0001107781672544661,0.00017085875742850476,2e-05,3253.859375,21.828125,0.0010685843881219625,781.244276560843
2,0.6448809504508972,0.6448809504508972,1.027500033378601,-0.8728570938110352,0.5675317645072937,0.02313232421875,-6.911900422323924e-05,9.704210378913558e-05,2e-05,2887.03125,19.671875,0.0006707663997076452,677.8533264771104
3,0.5586718916893005,0.5586718916893005,0.768750011920929,-0.6598038673400879,0.6869453191757202,0.018798828125,-7.319007465866889e-05,0.00015137898753891932,2e-05,3033.4375,20.203125,0.0005887159495614469,703.8221675381064
4,0.5396416187286377,0.5396416187286377,0.9524999856948853,-0.8787499666213989,0.5901910066604614,0.022979736328125,7.169398747919331e-05,8.841884346111328e-05,2e-05,3029.890625,20.890625,0.0005425263079814613,697.4565594308078
5,0.7489955425262451,0.7489955425262451,0.6232142448425293,-1.0425000190734863,0.5275835990905762,0.0179443359375,-4.785132159668137e-05,0.00013199567183619365,2e-05,2698.515625,18.8125,0.0006238765781745315,663.2114530019462
6,0.6794270873069763,0.6794270873069763,1.0824999809265137,-0.762499988079071,0.6420801281929016,0.02117919921875,0.00014122010865236234,0.00012934738742842455,2e-05,2928.328125,19.359375,0.0005538169643841684,703.0513922013342
7,0.6901041865348816,0.6901041865348816,1.024999976158142,-0.8858333826065063,0.5374265909194946,0.01898193359375,3.0869971169522614e-05,0.0001660101233937894,2e-05,2591.953125,17.171875,0.0006952170515432954,644.9690166153014
8,0.6030915379524231,0.6030915379524231,1.0218749046325684,-0.8531249761581421,0.5995966196060181,0.022308349609375,-0.00014254561827442558,0.00020072061670362018,2e-05,3244.515625,20.984375,0.0007980003720149398,1213.3283316753805
9,0.41005364060401917,0.41005364060401917,1.0806818008422852,-0.6449999809265137,0.5550472140312195,0.02313232421875,8.562942950618435e-05,0.00011779082433349686,2e-05,3603.0625,24.65625,0.0008519708062522113,813.1784222610295
10,0.5376413464546204,0.5376413464546204,1.0062499046325684,-1.0437500476837158,0.6173637509346008,0.02215576171875,-5.4326972588114586e-05,0.00015748212854305166,2e-05,3344.296875,19.78125,0.0008474019705317914,737.7300507873297
11,0.5917534828186035,0.5917534828186035,1.0513888597488403,-0.885937511920929,0.6045577526092529,0.02264404296875,2.4267087717078084e-06,0.0001543706894153729,2e-05,3168.25,20.453125,0.0007420118781737983,713.0354968123138
12,0.6723462343215942,0.6723462343215942,0.8184658885002136,-0.8942707777023315,0.6210494041442871,0.0252685546875,8.734380580222023e-05,0.00010580105708868359,2e-05,3187.96875,20.734375,0.0008020753157325089,715.7668748348951
13,0.6915067434310913,0.6915067434310913,0.7041666507720947,-0.9074405431747437,0.5947969555854797,0.02447509765625,-2.7951994240993372e-05,9.013463886731188e-05,2e-05,3029.203125,20.046875,0.0007748614880256355,701.488000754267
14,0.7688281536102295,0.7688281536102295,0.6624999642372131,-0.9071968793869019,0.5541992783546448,0.023529052734375,-2.712158789819341e-05,5.323094910636428e-05,2e-05,2843.328125,19.203125,0.0006129933753982186,677.5755147561431
15,0.8032218217849731,0.8032218217849731,0.4196428060531616,-0.9083333015441895,0.43283554911613464,0.0161895751953125,-4.715067500882242e-05,0.00016171549498267268,2e-05,3260.90625,18.859375,0.0005922256968915462,1041.1772276200354
16,0.6330617070198059,0.6330617070198059,1.0187499523162842,-0.8381249904632568,0.5698479413986206,0.02447509765625,4.879112381672712e-05,9.955588075172273e-05,2e-05,3248.046875,21.234375,0.0007513947202824056,730.2979462072253
17,0.6102975606918335,0.6102975606918335,1.0517857074737549,-0.8756250143051147,0.5962264537811279,0.02197265625,7.381597413314012e-05,0.00011466011756056105,2e-05,3132.078125,20.671875,0.00041828874964267015,714.9006444141269
18,0.6606919765472412,0.6606919765472412,1.0749999284744263,-0.6642857193946838,0.6112990379333496,0.0195770263671875,2.4649956262834394e-05,0.00011495253920656978,2e-05,3249.28125,21.5,0.0006838586996309459,724.4911033026874
19,0.7965587377548218,0.7965587377548218,0.7437499761581421,-0.8885416984558105,0.5352598428726196,0.02313232421875,1.684897944187469e-05,0.00016345337326129084,2e-05,2750.640625,17.5,0.0006044496549293399,666.9391971305013
